"username","id","datetime","type","text","has_referenced_tweet","referenced_tweet_found","referenced_tweet_id","referenced_tweet_text","referenced_tweet_datetime","referenced_tweet_author_id","referenced_tweet_author_name","referenced_tweet_author_username"
"yjadot","1418276458666020879","2021-07-22 18:27:12+00:00","retweet","RT @lucas_jaku: 🔴🇫🇷 Thread #Presidentielle2022. Oui, un sondage n’est qu’une photo de l’opinion à l’instant T. Mais la vague 2 du baromètre…",True,True,"1418126647178539015","🔴🇫🇷 Thread #Presidentielle2022. Oui, un sondage n’est qu’une photo de l’opinion à l’instant T. Mais la vague 2 du baromètre @IfopOpinion confirme des tendances lourdes qui devraient alarmer les états-majors. ⤵️

Analyse ici : https://t.co/PocePLNiVQ https://t.co/tEh7GLHV5i","2021-07-22 08:31:54+00:00","912065658","Lucas Jakubowicz","lucas_jaku"
"yjadot","1418245354017984518","2021-07-22 16:23:36+00:00","retweet","RT @CarolineRooseEU: Agissons pour #SauverNosOcéans

A la COP 15 sur la biodiversité, les ministres de l'UE doivent pousser pour des mesure…",True,True,"1418157384925646851","Agissons pour #SauverNosOcéans

A la COP 15 sur la biodiversité, les ministres de l'UE doivent pousser pour des mesures efficaces, et non des promesses vides

Demandez leur d'agir 👉 https://t.co/GBb9SgUAdt

Rejoignez le mouvement #SaveOurOceans @GreensEFA
@euroecolos https://t.co/8CX9yIDabt","2021-07-22 10:34:03+00:00","1150811186772025344","Caroline Roose 🌍 🐟 🌳🌻","CarolineRooseEU"
"yjadot","1418245239194669057","2021-07-22 16:23:09+00:00","retweet","RT @marietouss1: #Lobbying encore. @ReclaimFinance révèle les dizaines de millions d'euros dépenses par les lobbies du #gaz (encore!) et ce…",True,True,"1418233160022773771","#Lobbying encore. @ReclaimFinance révèle les dizaines de millions d'euros dépenses par les lobbies du #gaz (encore!) et ceux du #nucleaire (dont la France) pour influencer (détruire) les législations de protection de la planète

Lire aussi https://t.co/PRUInzQZRN
#climat #justice https://t.co/Z35pZmJbxx","2021-07-22 15:35:09+00:00","244086871","Marie Toussaint 🌍🌏","marietouss1"
"yjadot","1418126427040493569","2021-07-22 08:31:02+00:00","normal","Un appel salutaire !
« Évoquer le massacre pensé, organisé, systématisé, de six millions de personnes relève au mieux d'une paresse intellectuelle traduisant ignorance ou trous de mémoire, au pire d'un révisionnisme qui ne dit pas son nom. » https://t.co/YwkhRVDeoD",False,False,"","","","","",""
"yjadot","1418117651822428163","2021-07-22 07:56:10+00:00","quoting","Avec la Russie, comme avec la Chine et le Brésil, les droits humains ne pèsent décidément pas lourds pour Angela Merkel face à certains intérêts industriels allemands. La chancelière accélère les deals honteux au cœur de l’été et avant l’arrivée possible des Grünen au pouvoir ! https://t.co/1HKOnLyfPt",True,True,"1418113391135182848","⚡ Berlin et Moscou se mettent d'accord sur le dossier clé du #NordStream2, l'Ukraine et la Pologne voient rouge

C'est la fin d'un jeu d'échec géopolitique portant sur le gazoduc qui va doubler les capacités d'exportation de gaz russe en Europe ➡ https://t.co/XEoe7pU7ro https://t.co/zyEc0jxftm","2021-07-22 07:39:14+00:00","137253079","La Tribune","LaTribune"
"yjadot","1418114876149571585","2021-07-22 07:45:08+00:00","quoting","LGBT, femmes, migrants, journalistes, juges, opposants, associations… les atteintes aux libertés fondamentales et à la démocratie deviennent la norme en Hongrie, au cœur de l’Europe! Il est temps que l’UE sanctionne durement le régime Orban ! https://t.co/7tdrEMpqpi",True,True,"1418091222263111680","Viktor Orban organise un référendum anti-LGBT en #Hongrie. Le scrutin portera sur la loi controversée interdisant de « montrer l’homosexualité et le changement de genre » aux mineurs https://t.co/zNWmXzjpUM","2021-07-22 06:11:08+00:00","24744541","Le Monde","lemondefr"
"yjadot","1417932457739968513","2021-07-21 19:40:16+00:00","retweet","RT @gruffat_claude: Alors que l'UE se convertit à la bio, la France continue de mettre #LaBioaPoil
En tant que négociateur @GreensEFA sur p…",True,True,"1417439139465682948","Alors que l'UE se convertit à la bio, la France continue de mettre #LaBioaPoil
En tant que négociateur @GreensEFA sur plan d'action #bio j'ai appelé @jwojc à soutenir un financement à la hauteur des ambitions, notamment pour la 🇫🇷 qui ne joue pas le jeu.
https://t.co/f5CspTqbVl","2021-07-20 11:00:00+00:00","2972937868","Claude Gruffat","gruffat_claude"
"yjadot","1417932336977563648","2021-07-21 19:39:47+00:00","retweet","RT @salima_yenbou: Loi climat : nous ne sommes clairement pas à la hauteur !

Notre maison est submergée par les inondations en 🇧🇪🇩🇪🇨🇳, des…",True,True,"1417770965463937028","Loi climat : nous ne sommes clairement pas à la hauteur !

Notre maison est submergée par les inondations en 🇧🇪🇩🇪🇨🇳, des catastrophes toujours plus importantes et fréquentes, mais nous préférons nous extasier devant le tourisme spatial pour milliardaires.

https://t.co/URFHePqA4S","2021-07-21 08:58:33+00:00","714914764","Salima Yenbou","salima_yenbou"
"yjadot","1417932309865578496","2021-07-21 19:39:41+00:00","retweet","RT @marietouss1: 🤒Les cultures de #soja entraînent la #deforestation de l'#Amazonie. Et la Commission repousse une fois de plus le texte co…",True,True,"1417882179447709707","🤒Les cultures de #soja entraînent la #deforestation de l'#Amazonie. Et la Commission repousse une fois de plus le texte contraignant que nous attendons et réclamons @delarabur

Cessons de reporter l'action pour le #climat, la #biodiversite et les forêts !
https://t.co/5OHhQUrshY","2021-07-21 16:20:29+00:00","244086871","Marie Toussaint 🌍🌏","marietouss1"
"yjadot","1417932297316282368","2021-07-21 19:39:38+00:00","retweet","RT @Journeesdete: L'édition 2021 des Journées d'été des écologistes se tiendra les 19, 20 et 21 août prochains à Poitiers !

Le programme a…",True,True,"1417886631252611080","L'édition 2021 des Journées d'été des écologistes se tiendra les 19, 20 et 21 août prochains à Poitiers !

Le programme arrive très prochainement, en attendant vous pouvez retrouver toutes les infos et vous inscrire sur notre site internet ⤵️😎 https://t.co/TTxKWAKVwq","2021-07-21 16:38:10+00:00","2590313178","Journées d'été des écologistes","Journeesdete"
