"username","id","datetime","type","text","has_referenced_tweet","referenced_tweet_found","referenced_tweet_id","referenced_tweet_text","referenced_tweet_datetime","referenced_tweet_author_id","referenced_tweet_author_name","referenced_tweet_author_username","own_text","cleaned_text"
"ZemmourEric","1441117744980586501","2021-09-23 19:10:19+00:00","normal","Les idées sont sérieuses car elles engagent la vie de notre nation.
#JeSoutiensZemmour",False,False,"","","","","","","Les idées sont sérieuses car elles engagent la vie de notre nation.
#JeSoutiensZemmour","idées sérieuses engagent vie nation"
"ZemmourEric","1441117148689039366","2021-09-23 19:07:57+00:00","normal","J'ai accepté de débattre avec @JLMelenchon car le débat c'est la démocratie. Je suis pour la confrontation des idées.
#JeSoutiensZemmour",False,False,"","","","","","","J'ai accepté de débattre avec @JLMelenchon car le débat c'est la démocratie. Je suis pour la confrontation des idées.
#JeSoutiensZemmour","accepté débattre débat démocratie confrontation idées"
"ZemmourEric","1441106499812556802","2021-09-23 18:25:38+00:00","normal","Débat H -30 minutes.

#JeSoutiensZemmour https://t.co/3UHqt1gOXc",False,False,"","","","","","","Débat H -30 minutes.

#JeSoutiensZemmour https://t.co/3UHqt1gOXc","débat h -30 minutes"
"ZemmourEric","1441080184858243080","2021-09-23 16:41:04+00:00","retweet","RT @GenerationZ_off: Tu as manqué ça ?
#JeSoutiensZemmour #ZemmourVsMélenchon",True,True,"1441070080914296833","Tu as manqué ça ?
#JeSoutiensZemmour #ZemmourVsMélenchon https://t.co/YWwvb2HlW9","2021-09-23 16:00:55+00:00","1319730040494542849","Génération Zemmour ⓩ","GenerationZ_off","",""
"ZemmourEric","1441069595989786628","2021-09-23 15:59:00+00:00","normal","Sept ans plus tard, le retour.
#DirectZemmour #ZemmourVsMelenchon https://t.co/kVNFwcu67F",False,False,"","","","","","","Sept ans plus tard, le retour.
#DirectZemmour #ZemmourVsMelenchon https://t.co/kVNFwcu67F","ans tard"
"ZemmourEric","1440980507483910145","2021-09-23 10:04:59+00:00","retweet","RT @MvtConservateur: 📍@ZemmourEric sera aussi présent à la Journée du Conservatisme le dimanche 26 septembre à Asnières !
👉Et vous ?
🟪 In…",True,True,"1440949825370042369","📍@ZemmourEric sera aussi présent à la Journée du Conservatisme le dimanche 26 septembre à Asnières !
👉Et vous ?
🟪 Inscrivez-vous ➡️ https://t.co/bRY4IE3Hrv
#JDC2021 https://t.co/tg2FIRi089","2021-09-23 08:03:04+00:00","1947155094","Le Mouvement Conservateur","MvtConservateur","",""
"ZemmourEric","1440761012341260299","2021-09-22 19:32:48+00:00","normal","Je compte sur vous !
#DirectZemmour #ZemmourVsMelenchon https://t.co/MZD94Z4fYv",False,False,"","","","","","","Je compte sur vous !
#DirectZemmour #ZemmourVsMelenchon https://t.co/MZD94Z4fYv","compte"
"ZemmourEric","1440740358816612352","2021-09-22 18:10:43+00:00","normal","Il faut croire que je commence à inquiéter suffisament pour que Paris-Match, le caniche du pouvoir, essaye de me nuire. Je ne me laisserai pas intimider.",False,False,"","","","","","","Il faut croire que je commence à inquiéter suffisament pour que Paris-Match, le caniche du pouvoir, essaye de me nuire. Je ne me laisserai pas intimider.","faut croire commence inquiéter suffisament paris match caniche pouvoir essaye nuire laisserai intimider"
"ZemmourEric","1440718683270119432","2021-09-22 16:44:36+00:00","quoting","Pourquoi vouloir des prénoms français ?

Ma réponse dans @Valeurs ⤵️ https://t.co/M3kZzoH2eU",True,True,"1440711017948848145","🔴 [Exclusif] Eric Zemmour : ""Tant qu’il y aura des prénoms français""
➡️ Ses propos sur les prénoms français ont suscité l'ire de ses détracteurs. Dans Valeurs actuelles, l'essayiste tranche le débat une bonne fois pour toutes
🖋️ @ZemmourEric ⤵️
https://t.co/Nt6ShrTd9O","2021-09-22 16:14:08+00:00","112754792","Valeurs actuelles ن","Valeurs","Pourquoi vouloir des prénoms français ?

Ma réponse dans @Valeurs ⤵️","vouloir prénoms français réponse ️"
"ZemmourEric","1440699631176871943","2021-09-22 15:28:53+00:00","quoting","Alors @ChJacob77 ne partage pas plus de valeurs avec moi qu’avec les milliers de militants de son propre parti qui viennent me rencontrer, lisent mes livres et écoutent mes émissions. https://t.co/OwyhXbzedT",True,True,"1440571811624734721","Christian Jacob (@ChJacob77) : ""Nous acceptons les candidats de notre famille politique. Mais avec Eric Zemmour, il y a des valeurs qu'on ne partage pas. On ne peut pas tout ramener sur un seul sujet, celui du grand remplacement."" #le79inter https://t.co/VqHetnNnAl","2021-09-22 07:00:59+00:00","34867057","France Inter","franceinter","Alors @ChJacob77 ne partage pas plus de valeurs avec moi qu’avec les milliers de militants de son propre parti qui viennent me rencontrer, lisent mes livres et écoutent mes émissions.","partage valeurs milliers militants propre parti viennent rencontrer lisent livres écoutent émissions"
